subject	group	syllable	usage	treat
8	1	15	0.016756	LSD_0.1
9	2	15	0.023768	LSD_0.3
15	2	15	0.006510	LSD_0.3
1	0	15	0.048377	Saline
14	1	15	0.011351	LSD_0.1
7	0	15	0.008217	Saline
12	2	15	0.023087	LSD_0.3
11	1	15	0.025797	LSD_0.1
5	1	15	0.012883	LSD_0.1
6	2	15	0.013805	LSD_0.3
22	0	16	0.026803	Saline
23	1	16	0.007826	LSD_0.1
16	0	16	0.026402	Saline
18	2	16	0.009477	LSD_0.3
24	2	16	0.012000	LSD_0.3
19	0	16	0.017681	Saline
17	1	16	0.021373	LSD_0.1
13	0	16	0.026642	Saline
3	2	16	0.005297	LSD_0.3
20	1	16	0.016937	LSD_0.1
21	2	16	0.007116	LSD_0.3
2	1	16	0.017052	LSD_0.1
10	0	16	0.041364	Saline
4	0	16	0.019022	Saline
8	1	16	0.003300	LSD_0.1
9	2	16	0.008657	LSD_0.3
15	2	16	0.004006	LSD_0.3
1	0	16	0.017173	Saline
14	1	16	0.019621	LSD_0.1
7	0	16	0.050330	Saline
12	2	16	0.011786	LSD_0.3
11	1	16	0.009674	LSD_0.1
5	1	16	0.032055	LSD_0.1
6	2	16	0.010138	LSD_0.3
22	0	17	0.006363	Saline
23	1	17	0.006827	LSD_0.1
16	0	17	0.002222	Saline
18	2	17	0.024239	LSD_0.3
24	2	17	0.041000	LSD_0.3
19	0	17	0.002091	Saline
17	1	17	0.005829	LSD_0.1
13	0	17	0.025015	Saline
3	2	17	0.018465	LSD_0.3
20	1	17	0.009904	LSD_0.1
21	2	17	0.024142	LSD_0.3
2	1	17	0.018234	LSD_0.1
10	0	17	0.002908	Saline
4	0	17	0.005796	Saline
8	1	17	0.029703	LSD_0.1
9	2	17	0.018731	LSD_0.3
15	2	17	0.071357	LSD_0.3
1	0	17	0.019686	Saline
14	1	17	0.006486	LSD_0.1
7	0	17	0.002494	Saline
12	2	17	0.054730	LSD_0.3
11	1	17	0.050340	LSD_0.1
5	1	17	0.002914	LSD_0.1
6	2	17	0.024590	LSD_0.3
22	0	18	0.009256	Saline
23	1	18	0.019148	LSD_0.1
16	0	18	0.017514	Saline
18	2	18	0.012940	LSD_0.3
24	2	18	0.023500	LSD_0.3
19	0	18	0.018251	Saline
17	1	18	0.031088	LSD_0.1
13	0	18	0.007728	Saline
3	2	18	0.030271	LSD_0.3
20	1	18	0.016937	LSD_0.1
21	2	18	0.007370	LSD_0.3
2	1	18	0.018741	LSD_0.1
10	0	18	0.027145	Saline
4	0	18	0.023332	Saline
8	1	18	0.002539	LSD_0.1
9	2	18	0.011176	LSD_0.3
15	2	18	0.008262	LSD_0.3
1	0	18	0.006911	Saline
14	1	18	0.017999	LSD_0.1
7	0	18	0.025385	Saline
12	2	18	0.019696	LSD_0.3
11	1	18	0.021856	LSD_0.1
5	1	18	0.008742	LSD_0.1
6	2	18	0.017472	LSD_0.3
22	0	19	0.014269	Saline
23	1	19	0.027972	LSD_0.1
16	0	19	0.007058	Saline
18	2	19	0.019136	LSD_0.3
24	2	19	0.019833	LSD_0.3
19	0	19	0.015399	Saline
17	1	19	0.013601	LSD_0.1
13	0	19	0.015457	Saline
3	2	19	0.024217	LSD_0.3
20	1	19	0.013205	LSD_0.1
21	2	19	0.015248	LSD_0.3
2	1	19	0.026676	LSD_0.1
10	0	19	0.015673	Saline
4	0	19	0.013821	Saline
8	1	19	0.022087	LSD_0.1
9	2	19	0.008185	LSD_0.3
15	2	19	0.027541	LSD_0.3
1	0	19	0.008168	Saline
14	1	19	0.018161	LSD_0.1
7	0	19	0.014967	Saline
12	2	19	0.025024	LSD_0.3
11	1	19	0.032067	LSD_0.1
5	1	19	0.005982	LSD_0.1
6	2	19	0.016393	LSD_0.3
22	0	20	0.003471	Saline
23	1	20	0.016817	LSD_0.1
16	0	20	0.039733	Saline
18	2	20	0.009659	LSD_0.3
24	2	20	0.015833	LSD_0.3
19	0	20	0.028137	Saline
17	1	20	0.009715	LSD_0.1
13	0	20	0.001830	Saline
3	2	20	0.042833	LSD_0.3
20	1	20	0.008899	LSD_0.1
21	2	20	0.006099	LSD_0.3
2	1	20	0.010130	LSD_0.1
10	0	20	0.009695	Saline
4	0	20	0.020360	Saline
8	1	20	0.006093	LSD_0.1
9	2	20	0.004880	LSD_0.3
15	2	20	0.004006	LSD_0.3
1	0	20	0.004188	Saline
14	1	20	0.021080	LSD_0.1
7	0	20	0.043287	Saline
12	2	20	0.011140	LSD_0.3
11	1	20	0.025081	LSD_0.1
5	1	20	0.018558	LSD_0.1
6	2	20	0.010785	LSD_0.3
22	0	21	0.024296	Saline
23	1	21	0.010157	LSD_0.1
16	0	21	0.006666	Saline
18	2	21	0.019865	LSD_0.3
24	2	21	0.008167	LSD_0.3
19	0	21	0.007605	Saline
17	1	21	0.020402	LSD_0.1
13	0	21	0.012406	Saline
3	2	21	0.011806	LSD_0.3
20	1	21	0.018659	LSD_0.1
21	2	21	0.005591	LSD_0.3
2	1	21	0.027013	LSD_0.1
10	0	21	0.067862	Saline
4	0	21	0.013375	Saline
8	1	21	0.004316	LSD_0.1
9	2	21	0.010231	LSD_0.3
15	2	21	0.020030	LSD_0.3
1	0	21	0.008586	Saline
14	1	21	0.021729	LSD_0.1
7	0	21	0.014967	Saline
12	2	21	0.014207	LSD_0.3
11	1	21	0.016482	LSD_0.1
5	1	21	0.014571	LSD_0.1
6	2	21	0.011864	LSD_0.3
22	0	22	0.021211	Saline
23	1	22	0.001998	LSD_0.1
16	0	22	0.004052	Saline
18	2	22	0.022417	LSD_0.3
24	2	22	0.004500	LSD_0.3
19	0	22	0.010076	Saline
17	1	22	0.019430	LSD_0.1
13	0	22	0.050641	Saline
3	2	22	0.013622	LSD_0.3
20	1	22	0.013205	LSD_0.1
21	2	22	0.012961	LSD_0.3
2	1	22	0.021104	LSD_0.1
10	0	22	0.042818	Saline
4	0	22	0.005350	Saline
8	1	22	0.026149	LSD_0.1
9	2	22	0.021250	LSD_0.3
15	2	22	0.018528	LSD_0.3
1	0	22	0.027853	Saline
14	1	22	0.009405	LSD_0.1
7	0	22	0.004549	Saline
12	2	22	0.006135	LSD_0.3
11	1	22	0.010928	LSD_0.1
5	1	22	0.015031	LSD_0.1
6	2	22	0.016393	LSD_0.3
22	0	23	0.026417	Saline
23	1	23	0.003830	LSD_0.1
16	0	23	0.023396	Saline
18	2	23	0.008019	LSD_0.3
24	2	23	0.005167	LSD_0.3
19	0	23	0.017300	Saline
17	1	23	0.027526	LSD_0.1
13	0	23	0.018507	Saline
3	2	23	0.010898	LSD_0.3
20	1	23	0.016076	LSD_0.1
21	2	23	0.004574	LSD_0.3
2	1	23	0.026507	LSD_0.1
10	0	23	0.031023	Saline
4	0	23	0.006985	Saline
8	1	23	0.002539	LSD_0.1
9	2	23	0.007713	LSD_0.3
15	2	23	0.007011	LSD_0.3
1	0	23	0.023665	Saline
14	1	23	0.021404	LSD_0.1
7	0	23	0.012913	Saline
12	2	23	0.012108	LSD_0.3
11	1	23	0.014153	LSD_0.1
5	1	23	0.020552	LSD_0.1
6	2	23	0.006687	LSD_0.3
22	0	24	0.019668	Saline
23	1	24	0.013487	LSD_0.1
16	0	24	0.008104	Saline
18	2	24	0.011664	LSD_0.3
24	2	24	0.014500	LSD_0.3
19	0	24	0.011027	Saline
17	1	24	0.013439	LSD_0.1
13	0	24	0.010576	Saline
3	2	24	0.006811	LSD_0.3
20	1	24	0.008181	LSD_0.1
21	2	24	0.002541	LSD_0.3
2	1	24	0.019078	LSD_0.1
10	0	24	0.042333	Saline
4	0	24	0.019765	Saline
8	1	24	0.000254	LSD_0.1
9	2	24	0.003148	LSD_0.3
15	2	24	0.005008	LSD_0.3
1	0	24	0.007749	Saline
14	1	24	0.012162	LSD_0.1
7	0	24	0.030227	Saline
12	2	24	0.017113	LSD_0.3
11	1	24	0.011645	LSD_0.1
5	1	24	0.025307	LSD_0.1
6	2	24	0.013805	LSD_0.3
22	0	25	0.020440	Saline
23	1	25	0.003663	LSD_0.1
16	0	25	0.031107	Saline
18	2	25	0.002916	LSD_0.3
24	2	25	0.013667	LSD_0.3
19	0	25	0.016540	Saline
17	1	25	0.019754	LSD_0.1
13	0	25	0.003864	Saline
3	2	25	0.005297	LSD_0.3
20	1	25	0.029424	LSD_0.1
21	2	25	0.005337	LSD_0.3
2	1	25	0.002364	LSD_0.1
10	0	25	0.016319	Saline
4	0	25	0.012335	Saline
8	1	25	0.007362	LSD_0.1
9	2	25	0.005194	LSD_0.3
15	2	25	0.001753	LSD_0.3
1	0	25	0.003560	Saline
14	1	25	0.022701	LSD_0.1
7	0	25	0.022597	Saline
12	2	25	0.005166	LSD_0.3
11	1	25	0.002329	LSD_0.1
5	1	25	0.045245	LSD_0.1
6	2	25	0.007550	LSD_0.3
22	0	26	0.018704	Saline
23	1	26	0.003996	LSD_0.1
16	0	26	0.002483	Saline
18	2	26	0.024239	LSD_0.3
24	2	26	0.006500	LSD_0.3
19	0	26	0.011787	Saline
17	1	26	0.014573	LSD_0.1
13	0	26	0.037625	Saline
3	2	26	0.010443	LSD_0.3
