subject	group	syllable	usage	treat
11	1	14	0.015755	Ariadne_3
2	1	14	0.026119	Ariadne_3
18	2	14	0.002044	Ariadne_10
23	2	14	0.015729	Ariadne_10
20	1	14	0.009228	Ariadne_3
5	1	14	0.008098	Ariadne_3
21	2	14	0.002213	Ariadne_10
13	0	14	0.039695	Saline
1	0	15	0.005965	Saline
6	2	15	0.009814	Ariadne_10
3	2	15	0.012594	Ariadne_10
14	1	15	0.004375	Ariadne_3
16	0	15	0.009199	Saline
19	0	15	0.001930	Saline
9	2	15	0.014731	Ariadne_10
8	1	15	0.034579	Ariadne_3
7	0	15	0.002149	Saline
10	0	15	0.026196	Saline
17	1	15	0.009443	Ariadne_3
22	1	15	0.031921	Ariadne_3
15	2	15	0.072775	Ariadne_10
4	0	15	0.014454	Saline
12	2	15	0.011657	Ariadne_10
11	1	15	0.001146	Ariadne_3
2	1	15	0.026119	Ariadne_3
18	2	15	0.006133	Ariadne_10
23	2	15	0.014935	Ariadne_10
20	1	15	0.007042	Ariadne_3
5	1	15	0.020848	Ariadne_3
21	2	15	0.021525	Ariadne_10
13	0	15	0.045710	Saline
1	0	16	0.009733	Saline
6	2	16	0.020549	Ariadne_10
3	2	16	0.003255	Ariadne_10
14	1	16	0.019688	Ariadne_3
16	0	16	0.011188	Saline
19	0	16	0.019778	Saline
9	2	16	0.016085	Ariadne_10
8	1	16	0.021651	Ariadne_3
7	0	16	0.015941	Saline
10	0	16	0.034230	Saline
17	1	16	0.022506	Ariadne_3
22	1	16	0.032104	Ariadne_3
15	2	16	0.010935	Ariadne_10
4	0	16	0.014454	Saline
12	2	16	0.025812	Ariadne_10
11	1	16	0.018046	Ariadne_3
2	1	16	0.007836	Ariadne_3
18	2	16	0.007836	Ariadne_10
23	2	16	0.013823	Ariadne_10
20	1	16	0.031569	Ariadne_3
5	1	16	0.020503	Ariadne_3
21	2	16	0.024744	Ariadne_10
13	0	16	0.009623	Saline
1	0	17	0.006593	Saline
6	2	17	0.009354	Ariadne_10
3	2	17	0.011179	Ariadne_10
14	1	17	0.018438	Ariadne_3
16	0	17	0.006216	Saline
19	0	17	0.018331	Saline
9	2	17	0.007450	Ariadne_10
8	1	17	0.036604	Ariadne_3
7	0	17	0.026330	Saline
10	0	17	0.021306	Saline
17	1	17	0.012276	Ariadne_3
22	1	17	0.010640	Ariadne_3
15	2	17	0.026395	Ariadne_10
4	0	17	0.030178	Saline
12	2	17	0.024313	Ariadne_10
11	1	17	0.017474	Ariadne_3
2	1	17	0.009515	Ariadne_3
18	2	17	0.010562	Ariadne_10
23	2	17	0.010963	Ariadne_10
20	1	17	0.023312	Ariadne_3
5	1	17	0.022743	Ariadne_3
21	2	17	0.050694	Ariadne_10
13	0	17	0.004945	Saline
1	0	18	0.009733	Saline
6	2	18	0.011195	Ariadne_10
3	2	18	0.011886	Ariadne_10
14	1	18	0.021719	Ariadne_3
16	0	18	0.011934	Saline
19	0	18	0.025084	Saline
9	2	18	0.011344	Ariadne_10
8	1	18	0.021963	Ariadne_3
7	0	18	0.027046	Saline
10	0	18	0.024799	Saline
17	1	18	0.010859	Ariadne_3
22	1	18	0.011007	Ariadne_3
15	2	18	0.007164	Ariadne_10
4	0	18	0.016677	Saline
12	2	18	0.018984	Ariadne_10
11	1	18	0.035233	Ariadne_3
2	1	18	0.025000	Ariadne_3
18	2	18	0.029983	Ariadne_10
23	2	18	0.010168	Ariadne_10
20	1	18	0.021370	Ariadne_3
5	1	18	0.031013	Ariadne_3
