subject	group	syllable	usage	treat
23	2	12	0.006109	2BrLSD_1
11	1	12	0.014137	2BrLSD_0.3
9	2	12	0.009958	2BrLSD_1
3	2	12	0.005372	2BrLSD_1
15	0	12	0.040603	Saline
7	0	12	0.051396	Saline
20	2	12	0.014633	2BrLSD_1
14	2	12	0.005039	2BrLSD_1
16	1	12	0.016018	2BrLSD_0.3
21	0	12	0.030693	Saline
10	0	12	0.014021	Saline
1	0	13	0.024375	Saline
19	1	13	0.010893	2BrLSD_0.3
2	1	13	0.007332	2BrLSD_0.3
13	1	13	0.016451	2BrLSD_0.3
18	0	13	0.026183	Saline
17	2	13	0.002742	2BrLSD_1
5	1	13	0.013836	2BrLSD_0.3
12	0	13	0.024464	Saline
4	0	13	0.029016	Saline
22	1	13	0.020558	2BrLSD_0.3
8	1	13	0.013194	2BrLSD_0.3
6	2	13	0.007251	2BrLSD_1
23	2	13	0.005294	2BrLSD_1
11	1	13	0.013951	2BrLSD_0.3
9	2	13	0.018830	2BrLSD_1
3	2	13	0.009593	2BrLSD_1
15	0	13	0.025393	Saline
7	0	13	0.033976	Saline
20	2	13	0.010309	2BrLSD_1
14	2	13	0.012911	2BrLSD_1
16	1	13	0.017544	2BrLSD_0.3
21	0	13	0.021237	Saline
10	0	13	0.023870	Saline
1	0	14	0.005381	Saline
19	1	14	0.018368	2BrLSD_0.3
2	1	14	0.005063	2BrLSD_0.3
13	1	14	0.014600	2BrLSD_0.3
18	0	14	0.030569	Saline
17	2	14	0.009009	2BrLSD_1
5	1	14	0.013290	2BrLSD_0.3
12	0	14	0.027760	Saline
4	0	14	0.046092	Saline
22	1	14	0.016887	2BrLSD_0.3
8	1	14	0.013876	2BrLSD_0.3
6	2	14	0.009281	2BrLSD_1
23	2	14	0.008145	2BrLSD_1
11	1	14	0.026786	2BrLSD_0.3
9	2	14	0.005975	2BrLSD_1
3	2	14	0.006140	2BrLSD_1
15	0	14	0.021426	Saline
7	0	14	0.026934	Saline
20	2	14	0.016628	2BrLSD_1
14	2	14	0.005668	2BrLSD_1
16	1	14	0.011251	2BrLSD_0.3
21	0	14	0.018137	Saline
10	0	14	0.018772	Saline
1	0	15	0.006173	Saline
19	1	15	0.012815	2BrLSD_0.3
2	1	15	0.014141	2BrLSD_0.3
13	1	15	0.037631	2BrLSD_0.3
18	0	15	0.025385	Saline
17	2	15	0.025069	2BrLSD_1
5	1	15	0.023302	2BrLSD_0.3
12	0	15	0.009380	Saline
4	0	15	0.072331	Saline
22	1	15	0.010463	2BrLSD_0.3
8	1	15	0.007962	2BrLSD_0.3
6	2	15	0.015951	2BrLSD_1
23	2	15	0.004683	2BrLSD_1
11	1	15	0.020275	2BrLSD_0.3
9	2	15	0.011226	2BrLSD_1
3	2	15	0.019378	2BrLSD_1
15	0	15	0.016664	Saline
7	0	15	0.007660	Saline
20	2	15	0.014965	2BrLSD_1
14	2	15	0.012596	2BrLSD_1
16	1	15	0.009916	2BrLSD_0.3
21	0	15	0.011471	Saline
10	0	15	0.010545	Saline
1	0	16	0.012662	Saline
