subject	group	syllable	usage	treat
8	1	9	0.024871	Psilo_0.3
24	2	10	0.009820	Psilo_1
21	2	10	0.039828	Psilo_1
7	0	10	0.022842	Saline
1	0	10	0.026319	Saline
9	2	10	0.012716	Psilo_1
11	1	10	0.035191	Psilo_0.3
19	0	10	0.030140	Saline
20	1	10	0.007866	Psilo_0.3
16	0	10	0.009758	Saline
15	2	10	0.006597	Psilo_1
14	1	10	0.015080	Psilo_0.3
6	2	10	0.040162	Psilo_1
18	2	10	0.029000	Psilo_1
13	0	10	0.031441	Saline
4	0	10	0.018100	Saline
17	1	10	0.012689	Psilo_0.3
22	0	10	0.023837	Saline
2	1	10	0.004999	Psilo_0.3
10	0	10	0.024992	Saline
23	1	10	0.021528	Psilo_0.3
12	2	10	0.005508	Psilo_1
3	2	10	0.014022	Psilo_1
5	1	10	0.016719	Psilo_0.3
8	1	10	0.039262	Psilo_0.3
24	2	11	0.031582	Psilo_1
21	2	11	0.023591	Psilo_1
7	0	11	0.017383	Saline
1	0	11	0.007348	Saline
9	2	11	0.003150	Psilo_1
11	1	11	0.025020	Psilo_0.3
19	0	11	0.018623	Saline
20	1	11	0.028142	Psilo_0.3
16	0	11	0.001836	Saline
15	2	11	0.021257	Psilo_1
14	1	11	0.040999	Psilo_0.3
6	2	11	0.024806	Psilo_1
18	2	11	0.032853	Psilo_1
13	0	11	0.009782	Saline
4	0	11	0.011614	Saline
17	1	11	0.095770	Psilo_0.3
22	0	11	0.010028	Saline
2	1	11	0.008610	Psilo_0.3
10	0	11	0.010756	Saline
23	1	11	0.016514	Psilo_0.3
12	2	11	0.029302	Psilo_1
3	2	11	0.053962	Psilo_1
5	1	11	0.020195	Psilo_0.3
8	1	11	0.007964	Psilo_0.3
24	2	12	0.015393	Psilo_1
21	2	12	0.012255	Psilo_1
7	0	12	0.024565	Saline
1	0	12	0.022044	Saline
9	2	12	0.037564	Psilo_1
11	1	12	0.017697	Psilo_0.3
19	0	12	0.005881	Saline
20	1	12	0.018703	Psilo_0.3
16	0	12	0.008889	Saline
15	2	12	0.025289	Psilo_1
14	1	12	0.009661	Psilo_0.3
6	2	12	0.021262	Psilo_1
18	2	12	0.021294	Psilo_1
13	0	12	0.025153	Saline
4	0	12	0.021418	Saline
17	1	12	0.012387	Psilo_0.3
22	0	12	0.016604	Saline
2	1	12	0.019719	Psilo_0.3
10	0	12	0.012496	Saline
23	1	12	0.023592	Psilo_0.3
12	2	12	0.026217	Psilo_1
3	2	12	0.003824	Psilo_1
5	1	12	0.026651	Psilo_0.3
8	1	12	0.014531	Psilo_0.3
24	2	13	0.070329	Psilo_1
21	2	13	0.036152	Psilo_1
7	0	13	0.011924	Saline
1	0	13	0.005344	Saline
9	2	13	0.001400	Psilo_1
11	1	13	0.008747	Psilo_0.3
19	0	13	0.079392	Saline
20	1	13	0.040727	Psilo_0.3
16	0	13	0.003865	Saline
15	2	13	0.004215	Psilo_1
14	1	13	0.016258	Psilo_0.3
6	2	13	0.014512	Psilo_1
18	2	13	0.038126	Psilo_1
13	0	13	0.003319	Saline
4	0	13	0.005279	Saline
17	1	13	0.064048	Psilo_0.3
22	0	13	0.007726	Saline
2	1	13	0.001111	Psilo_0.3
10	0	13	0.029579	Saline
23	1	13	0.008552	Psilo_0.3
12	2	13	0.016303	Psilo_1
3	2	13	0.076269	Psilo_1
5	1	13	0.006125	Psilo_0.3
8	1	13	0.010479	Psilo_0.3
24	2	14	0.025743	Psilo_1
21	2	14	0.017157	Psilo_1
7	0	14	0.016521	Saline
1	0	14	0.013894	Saline
9	2	14	0.007583	Psilo_1
11	1	14	0.015867	Psilo_0.3
19	0	14	0.013967	Saline
20	1	14	0.026569	Psilo_0.3
16	0	14	0.028599	Saline
15	2	14	0.017042	Psilo_1
14	1	14	0.009661	Psilo_0.3
6	2	14	0.005737	Psilo_1
18	2	14	0.024539	Psilo_1
13	0	14	0.009956	Saline
4	0	14	0.018250	Saline
17	1	14	0.009063	Psilo_0.3
22	0	14	0.016932	Saline
2	1	14	0.027913	Psilo_0.3
10	0	14	0.015818	Saline
23	1	14	0.034651	Psilo_0.3
12	2	14	0.015202	Psilo_1
3	2	14	0.005099	Psilo_1
5	1	14	0.012581	Psilo_0.3
8	1	14	0.016348	Psilo_0.3
24	2	15	0.016454	Psilo_1
21	2	15	0.011642	Psilo_1
7	0	15	0.010631	Saline
1	0	15	0.008951	Saline
9	2	15	0.048413	Psilo_1
11	1	15	0.011188	Psilo_0.3
19	0	15	0.003431	Saline
20	1	15	0.020626	Psilo_0.3
16	0	15	0.010048	Saline
15	2	15	0.029503	Psilo_1
14	1	15	0.014373	Psilo_0.3
6	2	15	0.013669	Psilo_1
18	2	15	0.009126	Psilo_1
13	0	15	0.018341	Saline
4	0	15	0.015234	Saline
17	1	15	0.015106	Psilo_0.3
22	0	15	0.008384	Saline
2	1	15	0.026663	Psilo_0.3
10	0	15	0.006802	Saline
23	1	15	0.022707	Psilo_0.3
12	2	15	0.020930	Psilo_1
3	2	15	0.006586	Psilo_1
5	1	15	0.026651	Psilo_0.3
8	1	15	0.015230	Psilo_0.3
24	2	16	0.026274	Psilo_1
21	2	16	0.009191	Psilo_1
7	0	16	0.022698	Saline
1	0	16	0.008951	Saline
9	2	16	0.039081	Psilo_1
11	1	16	0.006509	Psilo_0.3
19	0	16	0.000980	Saline
20	1	16	0.037056	Psilo_0.3
16	0	16	0.005797	Saline
15	2	16	0.020524	Psilo_1
14	1	16	0.014138	Psilo_0.3
6	2	16	0.008944	Psilo_1
18	2	16	0.019469	Psilo_1
13	0	16	0.020961	Saline
4	0	16	0.025792	Saline
17	1	16	0.008459	Psilo_0.3
22	0	16	0.012494	Saline
2	1	16	0.015276	Psilo_0.3
10	0	16	0.015818	Saline
23	1	16	0.015630	Psilo_0.3
12	2	16	0.020269	Psilo_1
3	2	16	0.007436	Psilo_1
5	1	16	0.011587	Psilo_0.3
8	1	16	0.014950	Psilo_0.3
24	2	17	0.014862	Psilo_1
21	2	17	0.014706	Psilo_1
7	0	17	0.009912	Saline
1	0	17	0.003474	Saline
9	2	17	0.007816	Psilo_1
11	1	17	0.016273	Psilo_0.3
19	0	17	0.013967	Saline
20	1	17	0.017829	Psilo_0.3
16	0	17	0.001353	Saline
15	2	17	0.030236	Psilo_1
14	1	17	0.063148	Psilo_0.3
6	2	17	0.014850	Psilo_1
18	2	17	0.019874	Psilo_1
13	0	17	0.008384	Saline
4	0	17	0.010709	Saline
17	1	17	0.025680	Psilo_0.3
22	0	17	0.004274	Saline
2	1	17	0.017359	Psilo_0.3
10	0	17	0.009965	Saline
23	1	17	0.008994	Psilo_0.3
12	2	17	0.043181	Psilo_1
3	2	17	0.081156	Psilo_1
5	1	17	0.016885	Psilo_0.3
