165	A	active	2189.71	2199.05	9.34
166	A	active	2200.41	2203.79	3.38
167	A	active	2270.09	2271.89	1.80
168	J	active2	2268.87	2275.06	6.19
169	A	active	2274.16	2277.75	3.60
170	A	active	2278.87	2281.02	2.15
171	J	active2	2276.74	2282.37	5.63
172	J	active2	2282.81	2287.86	5.05
173	A	active	2287.41	2289.65	2.24
174	J	active2	2289.88	2292.14	2.26
175	J	active2	2294.72	2297.61	2.89
176	A	active	2298.05	2300.82	2.78
177	A	active	2302.49	2304.88	2.39
178	J	active2	2305.55	2309.59	4.04
179	J	active2	2312.27	2313.41	1.14
180	J	active2	2316.35	2320.54	4.19
181	A	active	2334.05	2343.37	9.32
182	A	active	2345.16	2355.16	9.99
183	J	active2	2356.63	2357.20	0.56
184	A	active	2357.76	2361.27	3.50
185	A	active	2372.24	2378.35	6.10
186	J	active2	2382.24	2386.65	4.41
187	J	active2	2388.89	2390.91	2.02
188	A	active	2391.36	2392.72	1.36
189	A	active	2393.73	2402.15	8.42
190	A	active	2402.93	2406.43	3.50
191	J	active2	2418.64	2426.95	8.31
192	J	active2	2429.18	2434.67	5.49
193	A	active	2435.13	2441.81	6.68
194	A	active	2443.48	2445.50	2.02
195	A	active	2450.57	2457.70	7.13
196	A	active	2459.61	2462.58	2.97
197	J	active2	2509.73	2517.35	7.62
198	J	active2	2518.50	2524.32	5.83
199	J	active2	2526.35	2537.91	11.56
200	J	active2	2599.87	2613.78	13.91
201	J	active2	2633.91	2647.15	13.24
202	J	active2	2698.02	2699.92	1.90
203	A	active	2768.29	2772.00	3.71
204	A	active	2845.16	2863.16	18.00
205	J	active2	2957.06	2964.94	7.88
206	A	active	2965.37	2966.81	1.43
207	J	active2	2968.23	2969.11	0.88
208	A	active	2968.67	2970.09	1.42
209	J	active2	2970.75	2975.76	5.01
210	A	active	2976.20	2978.82	2.62
211	J	active2	2977.07	2978.82	1.74
212	J	active2	2979.91	2990.87	10.96
213	A	active	2980.58	2998.87	18.29
214	A	active	3023.86	3025.29	1.43
215	A	active	3026.82	3028.36	1.54
216	J	active2	3028.90	3037.44	8.54
217	A	active	3038.55	3043.38	4.83
218	A	active	3045.79	3046.56	0.77
219	J	active2	3044.14	3048.86	4.71
220	A	active	3049.85	3051.81	1.97
221	J	active2	3052.58	3057.41	4.83
222	A	active	3063.58	3068.10	4.52
223	J	active2	3093.66	3098.81	5.15
224	J	active2	3099.71	3100.74	1.03
225	J	active2	3102.76	3103.43	0.67
226	A	active	3101.30	3104.79	3.49
227	A	active	3105.13	3106.27	1.14
228	J	active2	3106.94	3111.53	4.59
229	A	active	3146.83	3147.50	0.67
230	A	active	3188.86	3195.77	6.91
231	J	active2	3193.50	3203.63	10.14
232	A	active	3208.04	3210.47	2.44
233	J	active2	3211.03	3214.94	3.91
234	J	active2	3215.74	3220.15	4.41
235	J	active2	3224.00	3231.68	7.67
236	J	active2	3234.70	3235.82	1.11
237	J	active2	3242.31	3252.95	10.65
238	A	active	3304.70	3314.06	9.36
239	A	active	3325.20	3327.07	1.87
240	A	active	3337.22	3358.75	21.53
241	A	active	3359.84	3360.83	0.99
242	J	active2	3361.38	3364.02	2.64
243	A	active	3365.45	3371.58	6.13
244	J	active2	3372.56	3373.77	1.21
245	J	active2	3381.27	3382.94	1.66
246	A	active	3383.61	3389.33	5.72
247	A	active	3392.92	3394.71	1.79
248	A	active	3420.64	3420.97	0.33
249	A	active	3421.64	3421.97	0.33
250	A	active	3431.02	3433.15	2.13
251	J	active2	3422.63	3438.71	16.08
252	A	active	3438.82	3439.84	1.02
253	J	active2	3440.52	3441.75	1.23
254	J	active2	3444.25	3445.14	0.89
255	J	active2	3445.92	3453.53	7.61
256	J	active2	3454.68	3460.05	5.38
257	J	active2	3466.03	3466.82	0.79
258	A	active	3468.15	3470.18	2.03
259	J	active2	3468.82	3470.75	1.93
260	J	active2	3471.08	3471.85	0.77
261	A	active	3472.08	3489.18	17.10
262	A	active	3577.26	3579.81	2.55
263	J	active2	3589.93	3590.04	0.11
264	A	active	3597.42	3597.64	0.22
