Behavior Observation Log
Animal: test_1_2_3_4
Trial: 1234431
Session Date: 2025-02-15 11:55:38
Total Session Duration: 2851.79 seconds

Key events summary:
  Key 'X' (twitch): 5 events, total held 0.99 seconds, average held 0.20 seconds (0.03%)
  Key 'M' (freeze): 24 events, total held 58.14 seconds, average held 2.42 seconds (2.04%)
  Key 'Z' (chew): 5 events, total held 0.91 seconds, average held 0.18 seconds (0.03%)
  Key 'K' (moving): 310 events, total held 40.80 seconds, average held 0.13 seconds (1.43%)

Visual Timeline:

Detailed Visual Timeline (each line represents 15 minutes):
Legend: '.' = no activity, letter = key pressed


X (twitch):
X................................................................................................... [00:00 - 15:00]
........X........................................................................................... [15:00 - 30:00]
.................................................................................................... [30:00 - 45:00]
................X................................................................................... [45:00 - 47:31]


M (freeze):
M................................................................................................... [00:00 - 15:00]
........M................................M.......................................................... [15:00 - 30:00]
M.....M...................M.........M....................M....M..........................M.......... [30:00 - 45:00]
................M................................................................................... [45:00 - 47:31]


Z (chew):
Z.................................................................................................Z. [00:00 - 15:00]
........Z........................................................................................... [15:00 - 30:00]
.................................................................................................... [30:00 - 45:00]
................Z................................................................................... [45:00 - 47:31]


K (moving):
K................................................................................................... [00:00 - 15:00]
........K.................KK.............K.....K........K.........K..........K......K...........KK.. [15:00 - 30:00]
.K....K...........K.......K........KK.........KK.........K...............K........K.....KK..K.K...K. [30:00 - 45:00]
................K................................................................................... [45:00 - 47:31]


Detailed Event Log:
Event#	Key	Label	Start(s)	End(s)	Duration(s)
38	K	moving	1144.02	1144.14	0.12
39	K	moving	1144.21	1144.26	0.05
40	K	moving	1144.32	1144.42	0.11
41	K	moving	1144.48	1144.60	0.12
42	K	moving	1144.65	1144.71	0.06
43	K	moving	1144.82	1144.87	0.05
44	K	moving	1144.98	1145.04	0.05
45	K	moving	1145.09	1145.16	0.07
46	K	moving	1145.27	1145.32	0.05
47	K	moving	1145.43	1145.48	0.05
48	K	moving	1145.59	1145.64	0.05
49	K	moving	1145.75	1145.80	0.05
50	K	moving	1145.87	1145.97	0.11
51	K	moving	1146.03	1146.13	0.11
52	K	moving	1146.18	1146.29	0.11
53	K	moving	1146.34	1146.41	0.07
54	K	moving	1146.52	1146.57	0.05
55	K	moving	1146.68	1146.74	0.06
56	K	moving	1146.80	1146.90	0.10
57	K	moving	1146.95	1147.07	0.12
58	K	moving	1147.12	1147.23	0.10
59	K	moving	1147.28	1147.54	0.26
60	K	moving	1147.60	1147.65	0.05
61	K	moving	1147.75	1147.80	0.05
62	K	moving	1147.91	1147.96	0.05
63	K	moving	1148.07	1148.12	0.05
64	K	moving	1148.22	1148.27	0.05
65	K	moving	1148.38	1148.43	0.05
66	K	moving	1148.49	1148.60	0.12
67	K	moving	1148.66	1148.71	0.05
68	K	moving	1269.87	1269.93	0.06
69	K	moving	1269.99	1270.05	0.05
70	K	moving	1270.12	1270.17	0.06
71	K	moving	1270.23	1270.34	0.11
72	K	moving	1270.39	1270.45	0.05
73	K	moving	1270.55	1270.60	0.05
74	K	moving	1270.66	1270.72	0.06
75	M	freeze	1271.00	1276.46	5.46
76	M	freeze	1276.63	1277.19	0.57
77	M	freeze	1277.30	1277.58	0.28
78	M	freeze	1277.68	1277.95	0.26
79	K	moving	1326.68	1326.81	0.12
80	K	moving	1326.92	1326.97	0.05
81	K	moving	1327.02	1327.13	0.10
82	K	moving	1327.18	1327.24	0.06
83	K	moving	1327.30	1327.58	0.28
84	K	moving	1406.48	1406.60	0.12
85	K	moving	1406.65	1406.76	0.11
86	K	moving	1406.81	1406.92	0.10
87	K	moving	1497.11	1497.26	0.15
88	K	moving	1497.32	1497.37	0.05
89	K	moving	1497.48	1497.53	0.05
90	K	moving	1497.60	1497.70	0.11
91	K	moving	1497.75	1497.81	0.06
92	K	moving	1497.92	1497.98	0.06
93	K	moving	1498.09	1498.14	0.06
94	K	moving	1498.19	1498.30	0.10
95	K	moving	1598.28	1598.39	0.11
96	K	moving	1598.55	1598.61	0.06
97	K	moving	1598.66	1598.77	0.10
98	K	moving	1659.26	1661.73	2.46
99	K	moving	1662.00	1662.06	0.05
100	K	moving	1662.11	1662.21	0.11
101	K	moving	1662.26	1662.38	0.12
102	K	moving	1662.43	1662.49	0.05
103	K	moving	1766.25	1766.36	0.11
104	K	moving	1766.46	1766.51	0.05
105	K	moving	1766.62	1766.67	0.05
106	K	moving	1766.72	1766.77	0.05
107	K	moving	1766.88	1766.98	0.10
108	K	moving	1776.77	1776.87	0.10
109	K	moving	1776.92	1777.02	0.10
110	K	moving	1777.07	1777.18	0.10
111	K	moving	1777.23	1777.33	0.10
112	K	moving	1777.38	1788.88	11.50
113	M	freeze	1800.82	1804.46	3.64
114	M	freeze	1805.28	1816.66	11.38
115	K	moving	1816.89	1816.94	0.05
116	K	moving	1817.05	1817.10	0.05
117	K	moving	1817.17	1817.22	0.06
118	K	moving	1817.33	1817.38	0.05
119	K	moving	1817.50	1817.55	0.05
120	K	moving	1817.61	1817.67	0.06
121	K	moving	1817.78	1817.83	0.05
122	K	moving	1817.89	1818.20	0.32
123	K	moving	1854.87	1854.97	0.10
124	K	moving	1855.07	1855.12	0.05
125	K	moving	1855.24	1855.29	0.05
126	K	moving	1855.40	1855.46	0.06
127	K	moving	1855.52	1855.58	0.05
128	K	moving	1855.63	1855.74	0.11
129	K	moving	1855.81	1856.03	0.22
130	K	moving	1856.08	1856.14	0.05
131	K	moving	1856.24	1856.29	0.05
132	K	moving	1856.40	1856.45	0.05
133	K	moving	1856.55	1856.60	0.05
134	K	moving	1856.71	1856.76	0.05
135	K	moving	1856.87	1856.93	0.06
136	K	moving	1856.98	1857.03	0.05
137	K	moving	1857.14	1857.19	0.06
138	K	moving	1857.30	1857.35	0.05
139	K	moving	1857.45	1857.50	0.05
140	K	moving	1857.61	1857.71	0.10
141	K	moving	1857.76	1857.82	0.05
142	K	moving	1857.93	1857.98	0.05
143	K	moving	1858.03	1858.08	0.05
144	K	moving	1858.19	1858.24	0.05
